ligra-0,PageRank-51000M,Triangle-25000M,PageRank-51000M,CF-184750M,CF-184750M,Triangle-25000M,Triangle-25000M,PageRank-51000M
ligra-1,PageRankDelta-24000M,Components-Shortcut-22000M,Radii-24500M,Radii-25000M,BFSCC-17000M,PageRankDelta-17000M,PageRankDelta-24000M,Radii-24500M
ligra-2,PageRankDelta-17000M,Radii-25000M,PageRankDelta-17000M,Triangle-25000M,Triangle-25000M,Triangle-25000M,Components-Shortcut-17000M,Radii-25000M
ligra-3,BFSCC-17000M,Radii-24500M,Components-Shortcut-22000M,Radii-24500M,PageRankDelta-17000M,Components-Shortcut-17000M,Components-Shortcut-17000M,CF-184750M
ligra-4,BFSCC-17000M,CF-184750M,Components-Shortcut-22000M,BFSCC-17000M,Triangle-25000M,Components-Shortcut-17000M,PageRank-51000M,Radii-24500M
ligra-5,CF-184750M,Components-Shortcut-22000M,Radii-24500M,Radii-25000M,PageRankDelta-17000M,Components-Shortcut-17000M,BFSCC-17000M,Radii-24500M
ligra-6,PageRankDelta-17000M,BFSCC-17000M,BFSCC-17000M,Components-Shortcut-17000M,Radii-25000M,PageRankDelta-17000M,Components-Shortcut-17000M,CF-184750M
ligra-7,Components-Shortcut-22000M,Components-Shortcut-17000M,PageRankDelta-17000M,BFSCC-17000M,Radii-24500M,Radii-25000M,PageRankDelta-17000M,Components-Shortcut-17000M
ligra-8,Components-Shortcut-17000M,PageRankDelta-17000M,Radii-24500M,Radii-24500M,PageRank-51000M,PageRank-51000M,PageRankDelta-17000M,PageRankDelta-17000M
ligra-9,PageRankDelta-17000M,Components-Shortcut-22000M,PageRank-51000M,CF-184750M,PageRankDelta-17000M,Components-Shortcut-17000M,Radii-24500M,Radii-25000M
ligra-10,Components-Shortcut-22000M,PageRankDelta-17000M,PageRank-51000M,CF-184750M,Radii-25000M,PageRankDelta-24000M,BFSCC-17000M,CF-184750M
ligra-11,Triangle-25000M,Radii-25000M,Radii-24500M,Radii-25000M,PageRank-51000M,PageRankDelta-24000M,Components-Shortcut-22000M,BFSCC-17000M
ligra-12,Components-Shortcut-22000M,Components-Shortcut-17000M,Radii-24500M,Radii-25000M,PageRank-51000M,Radii-24500M,PageRankDelta-24000M,PageRankDelta-24000M
ligra-13,PageRankDelta-17000M,BFSCC-17000M,PageRankDelta-17000M,Components-Shortcut-17000M,Radii-25000M,CF-184750M,Triangle-25000M,Components-Shortcut-22000M
ligra-14,Components-Shortcut-22000M,Radii-25000M,PageRankDelta-17000M,Components-Shortcut-17000M,CF-184750M,PageRankDelta-24000M,PageRankDelta-24000M,PageRank-51000M
ligra-15,BFSCC-17000M,PageRankDelta-24000M,CF-184750M,PageRank-51000M,Radii-25000M,BFSCC-17000M,PageRank-51000M,BFSCC-17000M
