ligra-0,CF-184750M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-1,CF-184750M,PageRankDelta-24000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-2,CF-184750M,PageRankDelta-24000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M
ligra-3,Radii-24500M,CF-184750M,PageRankDelta-24000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-4,Radii-24500M,CF-184750M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,Radii-25000M,Components-Shortcut-17000M
ligra-5,PageRankDelta-24000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-6,CF-184750M,PageRankDelta-24000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,Radii-25000M,Components-Shortcut-17000M
ligra-7,Radii-24500M,CF-184750M,Triangle-25000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-8,Radii-24500M,PageRankDelta-24000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M
ligra-9,Radii-24500M,CF-184750M,PageRankDelta-24000M,Triangle-25000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Components-Shortcut-17000M
ligra-10,Radii-24500M,CF-184750M,PageRankDelta-24000M,Triangle-25000M,BFSCC-17000M,Components-Shortcut-22000M,Radii-25000M,Components-Shortcut-17000M
ligra-11,Radii-24500M,CF-184750M,PageRankDelta-24000M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,Radii-25000M
ligra-12,Radii-24500M,PageRankDelta-24000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-13,Radii-24500M,CF-184750M,PageRankDelta-24000M,Triangle-25000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
ligra-14,Radii-24500M,Triangle-25000M,PageRank-51000M,BFSCC-17000M,Components-Shortcut-22000M,PageRankDelta-17000M,Radii-25000M,Components-Shortcut-17000M
