core_number,prefetcher,trace_set,speedup
2,triangel,ml-1,1.0086550034671582
2,triangel,google-17,0.9756046630651455
2,triangel,google-12,0.9954875185533159
2,triangel,mix-4,0.9827560999652237
2,triangel,google-11,0.9849138585841735
2,triangel,mix-9,0.9942606709362358
2,triangel,ml-22,1.0106970044726165
2,triangel,gap-24,0.9941183696888578
2,triangel,google-10,0.9870818667779848
2,triangel,spec17-20,1.063038044586255
2,triangel,ligra-20,0.9938954379807148
2,triangel,spec17-14,0.8084937440629493
2,triangel,google-23,0.9944580688172053
2,triangel,ml-4,0.9965225444268785
2,triangel,ligra-15,1.0179738579065833
2,triangel,gap-16,0.9882731877777222
2,triangel,spec17-3,1.0177582310082294
2,triangel,spec17-5,0.9091722006781437
2,triangel,google-6,0.9847169079009385
2,triangel,ml-3,1.0220722865042313
2,triangel,google-0,0.9894681173152005
2,triangel,spec17-12,1.0369195505052298
2,triangel,ligra-9,1.0043837345650748
2,triangel,ml-15,0.9993079956301619
2,triangel,gap-7,0.9915793675847688
2,triangel,google-8,0.9961798209278245
2,triangel,spec17-22,0.9247541640586379
2,triangel,google-21,0.9920975867065462
2,triangel,ml-18,1.0424116092260787
2,triangel,ligra-18,0.9893334730720398
2,triangel,google-5,0.9856055516682705
2,triangel,ml-23,1.0037278590700425
2,triangel,google-22,0.991860364710381
2,triangel,ml-17,1.0060083694842903
2,triangel,mix-21,1.1345646409387202
2,triangel,ligra-4,0.9937912837644858
2,triangel,google-24,0.9947114386610709
2,triangel,spec17-1,1.11101122631816
2,triangel,gap-8,0.9934954374916779
2,triangel,mix-13,0.988272074680493
2,triangel,google-9,0.9879853332547647
2,triangel,spec17-4,0.926276408503594
2,triangel,mix-15,0.9779105575702671
2,triangel,ligra-21,0.9987372179931477
2,triangel,ml-20,1.0248282130507052
2,triangel,mix-22,0.9962843877469202
2,triangel,ligra-0,1.0088893441871278
2,triangel,mix-17,0.9918200292416088
2,triangel,google-20,0.9779461674888786
2,triangel,gap-12,1.0742508964610429
2,triangel,mix-20,1.137921271707234
2,triangel,gap-21,1.0963314667636914
2,triangel,google-7,0.9902102982063412
2,triangel,ligra-22,0.9705257170550953
2,triangel,mix-3,0.9847410968700685
2,triangel,mix-23,1.0782644322133244
2,triangel,spec17-24,0.9182615345149364
2,triangel,google-3,0.9880402906672349
2,triangel,spec17-0,0.930498279835359
2,triangel,gap-3,1.1040090574256831
2,triangel,ligra-11,1.0068790891039845
2,triangel,ml-13,1.0045567147189933
2,triangel,gap-23,1.1042318902915762
2,triangel,ligra-14,0.9862605290510859
2,triangel,mix-16,0.9986378293186887
2,triangel,mix-14,1.0002838951453472
2,triangel,ligra-6,0.9744292499865309
2,triangel,ml-11,1.0073544454567525
2,triangel,spec17-10,0.8568528353127215
2,triangel,gap-4,1.0065596048541732
2,triangel,ligra-13,0.9920945150631589
2,triangel,spec17-16,0.7464741897019854
2,triangel,ligra-16,1.0119825232445179
2,triangel,gap-10,0.9990361074514885
2,triangel,gap-20,1.1216399366959573
2,triangel,ligra-12,0.997208083587425
2,triangel,mix-5,0.9761565933566837
2,triangel,mix-6,0.9954170006620637
2,triangel,mix-18,1.005164876772513
2,triangel,ml-10,1.1422977127355154
2,triangel,gap-13,1.0004834173968304
2,triangel,ligra-24,1.0012328707666212
2,triangel,ml-8,1.0200453398771427
2,triangel,google-18,0.9808080502210619
2,triangel,spec17-2,0.9182615345149364
2,triangel,ligra-17,1.0005287719340141
2,triangel,google-16,0.9640847873503898
2,triangel,mix-11,1.0022164635904631
2,triangel,spec17-8,1.150013857267393
2,triangel,google-2,0.9947114386610709
2,triangel,ligra-19,0.9905773760759693
2,triangel,ligra-3,0.9861060511003835
2,triangel,gap-15,1.140094975554981
2,triangel,mix-7,0.9967997088199134
2,triangel,ml-2,1.146133428896093
2,triangel,ml-5,0.9995845574574123
2,triangel,ligra-8,0.9973235591318931
2,triangel,spec17-11,1.0010507910682718
2,triangel,spec17-19,1.11101122631816
2,triangel,spec17-9,1.011406709475178
2,triangel,google-14,0.9992408018873871
2,triangel,spec17-15,0.9716803095849507
2,triangel,ligra-2,1.0012328707666212
2,triangel,mix-19,1.0002092308300672
2,triangel,google-15,0.9731887654150139
2,triangel,ml-21,1.0033983789292396
2,triangel,gap-0,1.1075480411211251
2,triangel,gap-11,0.99059710230558
2,triangel,ligra-5,1.0280424481944432
2,triangel,gap-14,0.9894107625234669
2,triangel,spec17-13,1.0623651403981018
2,triangel,mix-8,1.0042268391713784
2,triangel,mix-0,1.096253767301212
2,triangel,ligra-7,0.9856347472684447
2,triangel,gap-1,1.054778782575934
2,triangel,gap-17,1.0950318802800583
2,triangel,gap-2,0.9941183696888578
2,triangel,ml-7,1.0052080837386075
2,triangel,ml-19,1.0086550034671582
2,triangel,spec17-21,0.9635842451171988
2,triangel,mix-2,1.0916165379375367
2,triangel,ml-14,1.008349121039531
2,triangel,gap-19,1.054778782575934
2,triangel,ml-0,1.0190568111938252
2,triangel,google-13,0.9828146808572505
2,triangel,ligra-1,0.9905773760759693
2,triangel,gap-22,0.9934233705372807
2,triangel,ml-9,0.9998870378679785
2,triangel,spec17-6,1.0632180931830106
2,triangel,ml-12,1.150153409884238
2,triangel,gap-6,0.9962960294601257
2,triangel,gap-5,1.1175339495782755
2,triangel,ligra-23,1.0092841599238713
2,triangel,ml-16,1.0215448961717408
2,triangel,spec17-23,1.1450355801278038
2,triangel,ligra-10,0.9804948033082896
2,triangel,mix-12,0.998065460080903
2,triangel,ml-6,1.001502655783
2,triangel,google-1,0.9985471978928591
2,triangel,mix-1,1.0002092308300672
2,triangel,gap-18,0.9991112816964152
2,triangel,gap-9,1.235988578965493
2,triangel,spec17-18,1.1543170312856073
2,triangel,mix-10,0.9972302609109076
2,triangel,mix-24,1.0916165379375367
2,triangel,google-4,0.987968922039396
2,triangel,spec17-17,0.8140333039468018
2,triangel,spec17-7,1.05066004354343
2,triangel,ml-24,1.146133428896093
2,triangel,google-19,0.9985471978928591
2,prophet,ml-1,0.9865515621892792
2,prophet,google-17,0.9642264820776374
2,prophet,google-12,0.9853773574453727
2,prophet,mix-4,0.9452053281320802
2,prophet,google-11,0.9765785944349935
2,prophet,mix-9,0.9553224201342893
2,prophet,ml-22,1.0032841573019589
2,prophet,gap-24,0.9723139788357041
2,prophet,google-10,0.9583962037898565
2,prophet,spec17-20,0.8505479847599071
2,prophet,ligra-20,0.9772908897650687
2,prophet,spec17-14,0.7748092891016043
2,prophet,google-23,0.9755691106010461
2,prophet,ml-4,0.9972043761064286
2,prophet,ligra-15,0.9876821012294823
2,prophet,gap-16,0.9448763297065148
2,prophet,spec17-3,0.9738585996868605
2,prophet,spec17-5,0.8772507620552863
2,prophet,google-6,0.949351204493862
2,prophet,ml-3,0.9930041303862411
2,prophet,google-0,0.9838416380800604
2,prophet,spec17-12,0.9599513975926548
2,prophet,ligra-9,1.0022506238297804
2,prophet,ml-15,0.9903867463359356
2,prophet,gap-7,0.9470603152019205
2,prophet,google-8,0.9758277626497398
2,prophet,spec17-22,0.8825498560345644
2,prophet,google-21,0.9649431839716391
2,prophet,ml-18,0.9974599615773682
2,prophet,ligra-18,0.9821536291085878
2,prophet,google-5,0.9831950260038496
2,prophet,ml-23,0.989562745212654
2,prophet,google-22,0.9724956790490829
2,prophet,ml-17,0.9964125223668595
2,prophet,mix-21,0.9585911755382153
2,prophet,ligra-4,0.987493008701947
2,prophet,google-24,0.967974899771981
2,prophet,spec17-1,0.6982737205474007
2,prophet,gap-8,0.9455141084813575
2,prophet,mix-13,0.992993036141346
2,prophet,google-9,0.9657017342286399
2,prophet,spec17-4,0.9222595018689549
2,prophet,mix-15,0.9380743347092293
2,prophet,ligra-21,0.9951390344506109
2,prophet,ml-20,0.9912253110522243
2,prophet,mix-22,0.9870827041505619
2,prophet,ligra-0,0.969178946562752
2,prophet,mix-17,0.965806488855497
2,prophet,google-20,0.96242250849018
2,prophet,gap-12,0.9236789515962073
2,prophet,mix-20,0.7283667746055097
2,prophet,gap-21,0.9234118081084779
2,prophet,google-7,0.9633498031674766
2,prophet,ligra-22,0.9623807977308113
2,prophet,mix-3,0.948798060393268
2,prophet,mix-23,0.9313067456112563
2,prophet,spec17-24,0.9129797290403456
2,prophet,google-3,0.960977739534572
2,prophet,spec17-0,0.9195263775616217
2,prophet,gap-3,0.9122536106264972
2,prophet,ligra-11,0.9685186175573007
